timestamp,response_time_s
1751117050.173,1.635
1751117052.809,0.006
1751117053.815,0.006
1751117054.821,0.006
1751117055.827,0.005
1751117056.833,0.006
1751117057.839,0.005
1751117058.845,0.006
1751117059.851,0.005
1751117060.857,0.006
