request_number,latency_ms
543,99.303
544,99.276
545,99.249
546,99.221
547,98.843
548,98.813
549,98.789
551,98.736
552,98.716
553,98.693
554,98.683
555,98.660
556,98.644
557,98.617
558,98.597
559,98.572
560,98.548
561,98.525
562,98.499
563,98.477
564,98.454
565,98.430
566,98.406
567,98.382
568,98.358
590,292.941
593,292.878
580,294.878
576,296.334
581,295.885
582,295.874
577,296.260
578,296.221
583,296.042
595,294.767
584,296.330
586,295.387
607,297.726
609,297.700
610,297.697
615,297.590
621,297.441
627,297.279
628,297.269
606,298.253
608,298.217
613,298.086
616,298.012
611,595.045
600,599.291
617,598.811
618,598.810
619,598.796
622,598.727
642,300.870
648,300.549
569,699.732
570,699.694
571,697.809
572,697.760
573,697.732
574,697.702
575,697.677
579,696.917
585,695.836
587,695.755
588,695.728
589,695.702
591,695.646
592,695.621
594,695.573
596,695.509
597,695.484
598,695.456
629,402.515
630,402.461
632,401.262
633,400.808
634,400.783
636,400.456
637,400.434
638,400.399
639,400.233
640,400.200
631,498.285
635,496.824
679,197.891
665,198.447
670,198.320
675,198.190
677,198.141
680,198.056
660,198.893
661,198.853
662,198.836
663,198.811
664,198.794
668,198.689
669,198.688
671,198.643
673,198.599
674,198.584
676,198.532
678,198.484
681,198.402
682,198.379
683,198.360
684,198.344
685,198.324
686,198.302
687,198.280
666,199.349
672,199.198
696,103.419
701,103.280
702,103.259
705,103.205
715,102.772
667,302.978
688,207.159
689,207.116
698,103.585
703,103.457
706,103.385
711,103.245
690,104.877
691,104.453
692,104.421
693,104.396
694,104.373
695,104.350
697,103.973
699,103.931
700,103.910
704,103.807
707,103.730
708,103.709
709,103.690
710,103.667
712,103.601
713,103.578
714,103.558
716,103.341
151,4999.449
170,5000.088
605,1194.524
599,1200.030
603,1195.354
620,1194.865
624,1194.743
626,1194.689
641,896.973
645,897.628
656,596.441
604,1196.354
612,1196.118
643,897.863
646,897.779
647,897.757
654,596.687
623,1196.353
625,1196.298
644,898.411
650,898.073
652,601.518
653,597.347
657,597.179
602,1200.771
614,1200.419
655,600.982
659,600.863
748,180.006
601,1202.220
649,903.278
651,903.230
658,602.316
769,99.560
773,95.919
774,95.898
775,95.871
776,94.530
777,94.492
778,94.467
766,100.229
753,101.941
755,101.897
758,100.977
767,100.364
749,105.323
759,103.396
765,102.880
770,102.743
750,107.029
752,106.971
754,106.932
756,106.225
757,106.184
760,105.930
762,105.884
764,105.481
735,393.325
718,394.404
734,393.749
740,393.577
745,393.444
720,394.786
723,394.461
739,393.818
751,200.735
761,199.616
763,199.569
768,199.063
772,195.416
779,193.886
795,97.080
800,94.482
802,94.445
780,100.530
781,100.505
783,100.458
784,100.436
788,99.827
789,99.798
792,97.399
793,97.382
786,101.208
787,100.835
790,100.599
791,100.579
794,98.174
801,95.528
803,95.484
797,99.061
798,99.043
799,99.030
785,105.250
796,99.645
721,692.546
722,692.291
743,691.526
746,691.455
782,398.663
831,297.138
738,792.169
807,398.250
808,398.232
771,593.401
813,401.313
814,401.304
815,401.289
817,401.250
818,400.233
819,400.211
821,400.020
824,399.951
826,399.897
827,399.880
828,399.863
829,399.323
830,399.308
834,399.204
835,399.185
839,395.416
840,395.390
833,399.721
836,396.398
837,396.370
838,396.352
845,102.438
846,102.353
812,402.800
816,402.691
820,401.585
822,401.392
823,401.370
825,401.312
832,400.597
205,4999.856
210,5000.059
211,4999.989
719,1094.648
732,1093.884
733,1093.870
717,1097.172
724,1096.721
725,1096.703
726,1096.677
727,1096.659
728,1096.634
729,1096.424
730,1096.395
731,1096.376
736,1096.233
737,1096.212
741,1096.098
742,1096.078
744,1096.019
804,702.738
805,702.522
806,702.315
809,702.080
810,702.050
811,702.027
841,404.174
842,404.115
843,404.088
844,404.064
848,303.816
849,303.786
882,18.459
847,316.508
886,14.739
218,4999.382
223,4999.610
229,4999.866
857,298.191
858,299.355
862,299.297
867,299.165
876,298.496
852,299.900
232,5000.037
233,5000.183
234,5000.280
239,5000.530
241,5000.665
243,5001.960
244,5002.286
884,102.355
885,102.289
887,99.722
888,99.679
889,99.661
890,99.646
891,99.633
892,99.626
893,99.611
894,99.600
895,99.590
896,99.582
897,99.560
898,99.548
899,99.532
900,99.519
901,99.501
902,99.483
903,99.460
904,99.437
905,99.413
906,99.393
907,99.373
908,99.347
909,99.323
910,99.298
911,99.276
912,99.252
913,99.236
914,87.600
915,87.567
926,18.663
247,5004.006
